ProjectName,Scenario,Watershed,Climate,ClimStation,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Stream discharge (m^3/yr),Stream discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
portland_CampCreek_ModSevS.202203.chn_cs140,ModSevS,CampCreek,CLIGEN,Headworks,510.45,12747337,2497.274366,10043939,1967.66363,97,190.0284063,3.2,6.268978352,94.4,184.9348614,0.942,142.4,0.278969537,0.3152,29.75488,58.29146831
portland_CampCreek_PrescFireS.202203.chn_cs140,PrescFireS,CampCreek,CLIGEN,Headworks,510.45,12747337,2497.274366,9600752,1880.840827,4.9,9.599373102,3.1,6.073072779,8,15.67244588,1.001,53.7,0.105201293,0.2622,2.0976,4.10931531
portland_CampCreek_SimFire_Eagle.202203.cl532.chn_cs140,SimFire_Eagle,CampCreek,CLIGEN,Headworks,510.45,12747337,2497.274366,9917713,1942.935253,97,190.0284063,2.8,5.485356058,94,184.1512391,0.942,141.4,0.277010481,0.3155,29.657,58.09971594
portland_CampCreek_SimFire_Norse.202010.cl532.chn_cs140,SimFire_Norse,CampCreek,CLIGEN,Headworks,510.45,12745923,2496.997355,9926951,1944.745029,40.1,78.55813498,142.9,279.9490646,181.7,355.9604271,0.993,229.8,0.450191008,0.852,154.8084,303.2782839
portland_FivemileCreek_CurCond.202203.cl532.chn_cs140,CurCond,FivemileCreek,CLIGEN,Headworks,181.89,3888889,2138.044422,2602891,1431.024795,0,0,0.2,1.099565672,0.2,1.099565672,1.001,12.3,0.067623289,0.1931,0.03862,0.212326131
portland_FivemileCreek_CurCond.202203.cl532_future.chn_cs140,CurCond,FivemileCreek,Future,Headworks,181.89,4410712,2424.933751,2989582,1643.62087,0,0,3.6,19.79218209,3.7,20.34196492,1.001,17,0.093463082,0.1918,0.70966,3.901588872
portland_FivemileCreek_CurCond.202203.cl532_gridmet.chn_cs140,CurCond,FivemileCreek,Gridmet,Headworks,181.89,4032571,2217.03832,2736409,1504.4307,0,0,1.8,9.896091044,1.8,9.896091044,1.001,14.3,0.078618946,0.1918,0.34524,1.898070262
portland_FivemileCreek_HighSevS.202203.chn_cs140,HighSevS,FivemileCreek,CLIGEN,Headworks,181.89,3888889,2138.044422,3114658,1712.385508,1268.1,6971.796141,19.4,106.6578701,1187.5,6528.671175,0.922,1201.7,6.606740338,0.3935,467.28125,2569.032107
portland_FivemileCreek_LowSevS.202203.chn_cs140,LowSevS,FivemileCreek,CLIGEN,Headworks,181.89,3888889,2138.044422,2893378,1590.729562,8.4,46.18175821,0.4,2.199131343,8.9,48.93067238,1.011,22.2,0.12205179,0.3357,2.98773,16.42602672
portland_FivemileCreek_ModSevS.202203.chn_cs140,ModSevS,FivemileCreek,CLIGEN,Headworks,181.89,3888889,2138.044422,2996360,1647.347298,150.8,829.0725164,3.4,18.69261642,155.2,853.2629611,1.007,168.9,0.92858321,0.3477,53.96304,296.6795316
portland_FivemileCreek_PrescFireS.202203.chn_cs140,PrescFireS,FivemileCreek,CLIGEN,Headworks,181.89,3888889,2138.044422,2813648,1546.895376,6.2,34.08653582,0.6,3.298697015,6.9,37.93501567,1.007,19.8,0.108857001,0.3131,2.16039,11.87745341
portland_FivemileCreek_SimFire_Eagle.202203.cl532.chn_cs140,SimFire_Eagle,FivemileCreek,CLIGEN,Headworks,181.89,3888889,2138.044422,2981922,1639.409533,150.7,828.5227335,3.4,18.69261642,155.2,853.2629611,1.007,168.8,0.928033427,0.3477,53.96304,296.6795316
portland_FivemileCreek_SimFire_Norse.202203.cl532.chn_cs140,SimFire_Norse,FivemileCreek,CLIGEN,Headworks,181.89,3888889,2138.044422,2990261,1643.994172,150.8,829.0725164,3.4,18.69261642,155.2,853.2629611,1.007,168.9,0.92858321,0.3477,53.96304,296.6795316
