ProjectName,Watershed,Scenario,Climate,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
portland_BearCreek_LowSevS.202203.chn_cs140,BearCreek,LowSevS,CLIGEN,0.017,0.471,0.112,0.173,0.227,0.058,0.577,0.365,0.025,0.038698717,0.201431049,0.251447417,0.315208124,0.193214692,0.122959727,0.432604706,0.444435567,0.052470759,25.1,6.188540281,27.78,0.87
portland_BearCreek_ModSevS.202203.chn_cs140,BearCreek,ModSevS,CLIGEN,0.569,0.133,0.101,0.113,0.084,0.602,0.225,0.174,0.258,0.036740923,0.213919898,0.254360371,0.31156003,0.183418778,0.121255404,0.447012474,0.431732122,0.051739811,257.6,87.35133719,245.43,7.67
portland_BearCreek_PrescFireS.202203.chn_cs140,BearCreek,PrescFireS,CLIGEN,0.022,0.15,0.155,0.27,0.402,0.082,0.3,0.618,0.035,0.036498884,0.196696619,0.252684945,0.320581501,0.19353805,0.121552976,0.429405517,0.449041507,0.051864089,16.2,3.709263514,37.28,1.17
portland_BearCreek_SimFire_Eagle.202203.cl532.chn_cs140,BearCreek,SimFire_Eagle,CLIGEN,0.404,0.239,0.163,0.13,0.064,0.451,0.381,0.168,0.193,0.03842425,0.381132102,0.266002849,0.220728649,0.09371215,0.116402987,0.61396413,0.269632883,0.049694863,589.8,356.3394907,188.69,5.9
portland_BearCreek_SimFire_Norse.202203.cl532.chn_cs140,BearCreek,SimFire_Norse,CLIGEN,0.569,0.133,0.101,0.113,0.084,0.601,0.225,0.174,0.258,0.036741188,0.213449895,0.254343865,0.311844785,0.183620268,0.121280377,0.446559062,0.432160561,0.051750398,256.7,87.11003068,245.26,7.67
portland_CampCreek_CurCond.202203.cl532.chn_cs140,CampCreek,CurCond,CLIGEN,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0,0,0,0,0,0,0,0,0,1.7,0,31.98,1
portland_CampCreek_CurCond.202203.cl532_future.chn_cs140,CampCreek,CurCond,Future,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0,0,0,0,0,0,0,0,0,11.1,0,31.98,1
portland_CampCreek_CurCond.202203.cl532_gridmet.chn_cs140,CampCreek,CurCond,gridMET,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0,0,0,0,0,0,0,0,0,14.6,0,31.98,1
portland_CampCreek_HighSevS.202203.chn_cs140,CampCreek,HighSevS,CLIGEN,0.047,0.238,0.306,0.261,0.149,0.138,0.506,0.356,0.059,0.036517737,0.187183895,0.252815381,0.326281645,0.197201342,0.122163665,0.420588522,0.457247813,0.052123323,826.6,1070.653368,62.05,1.94
portland_CampCreek_LowSevS.202203.chn_cs140,CampCreek,LowSevS,CLIGEN,0.035,0.195,0.228,0.297,0.244,0.113,0.406,0.481,0.048,0.039585531,0.210314994,0.255740673,0.310134981,0.184223821,0.124250176,0.444348423,0.431401401,0.053024523,10.9,8.545824442,50.98,1.59
portland_CampCreek_ModSevS.202203.chn_cs140,CampCreek,ModSevS,CLIGEN,0.038,0.198,0.264,0.309,0.191,0.125,0.438,0.437,0.053,0.036540489,0.187811496,0.252972805,0.325916092,0.196759118,0.122183444,0.421302313,0.456514243,0.052131898,94.4,97.02894186,56.19,1.76
portland_CampCreek_PrescFireS.202203.chn_cs140,CampCreek,PrescFireS,CLIGEN,0.029,0.172,0.204,0.296,0.299,0.102,0.364,0.535,0.044,0.036706413,0.194673609,0.254121011,0.322038111,0.192460857,0.122207719,0.42866705,0.449125231,0.052143543,8,4.855542439,46.15,1.44
portland_CampCreek_SimFire_Eagle.202203.cl532.chn_cs140,CampCreek,SimFire_Eagle,CLIGEN,0.038,0.198,0.265,0.309,0.189,0.125,0.44,0.436,0.054,0.036587378,0.187988596,0.252996941,0.325762062,0.196665023,0.122220177,0.421482437,0.456297386,0.052147716,94,97.01489603,56.32,1.76
portland_CampCreek_SimFire_Norse.202010.cl532.chn_cs140,CampCreek,SimFire_Norse,CLIGEN,0.769,0.065,0.06,0.066,0.04,0.788,0.119,0.093,0.338,0.037740194,0.202338869,0.259359209,0.31936276,0.181198968,0.1240819,0.440187012,0.435731088,0.052946108,181.7,40.1427368,313.42,9.8
portland_FivemileCreek_CurCond.202203.cl532.chn_cs140,FivemileCreek,CurCond,CLIGEN,0.018,0.137,0.127,0.255,0.463,0.07,0.264,0.666,0.03,0.026408698,0.269035351,0.182829808,0.257309301,0.264416842,0.090459408,0.440048237,0.469492355,0.038591005,0.2,0.002138244,32.08,1
portland_FivemileCreek_CurCond.202203.cl532_future.chn_cs140,FivemileCreek,CurCond,Future,0.018,0.136,0.126,0.255,0.464,0.07,0.263,0.667,0.03,0.029579263,0.251037722,0.204779778,0.274273979,0.240329257,0.099940921,0.441133461,0.458925618,0.042639191,3.7,0.015565626,32.04,1
portland_FivemileCreek_CurCond.202203.cl532_gridmet.chn_cs140,FivemileCreek,CurCond,gridMET,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.036399915,0.180997987,0.2520019,0.329727777,0.200872421,0.122215366,0.414119175,0.463665459,0.052144301,1.8,4.91E-05,31.98,1
portland_FivemileCreek_HighSevS.202203.chn_cs140,FivemileCreek,HighSevS,CLIGEN,0.053,0.27,0.235,0.267,0.175,0.129,0.483,0.388,0.055,0.031762153,0.248184133,0.219891696,0.280181983,0.219980036,0.105897317,0.450817607,0.443285076,0.045183859,1187.5,1268.131679,58.4,1.83
portland_FivemileCreek_LowSevS.202203.chn_cs140,FivemileCreek,LowSevS,CLIGEN,0.034,0.233,0.229,0.289,0.216,0.111,0.443,0.446,0.047,0.034750241,0.236190689,0.233800751,0.291043572,0.204214747,0.112895513,0.450928013,0.436176474,0.048173751,8.9,8.395018678,50.33,1.57
portland_FivemileCreek_ModSevS.202203.chn_cs140,FivemileCreek,ModSevS,CLIGEN,0.033,0.246,0.229,0.286,0.206,0.109,0.457,0.434,0.047,0.033433706,0.227618773,0.231464423,0.295830869,0.211652229,0.111559955,0.441010614,0.447429431,0.047599754,155.2,150.760112,49.75,1.56
portland_FivemileCreek_PrescFireS.202203.chn_cs140,FivemileCreek,PrescFireS,CLIGEN,0.033,0.212,0.227,0.298,0.23,0.11,0.422,0.468,0.047,0.034203993,0.21925825,0.236796938,0.302366217,0.207374601,0.114102403,0.437537121,0.448360477,0.048684619,6.9,6.237370268,49.9,1.56
portland_FivemileCreek_SimFire_Eagle.202203.cl532.chn_cs140,FivemileCreek,SimFire_Eagle,CLIGEN,0.033,0.246,0.229,0.286,0.206,0.109,0.457,0.434,0.047,0.033437573,0.227636672,0.231465233,0.295815456,0.211645066,0.111562468,0.441027548,0.447409984,0.047600839,155.2,150.7494363,49.76,1.56
portland_FivemileCreek_SimFire_Norse.202203.cl532.chn_cs140,FivemileCreek,SimFire_Norse,CLIGEN,0.033,0.246,0.229,0.286,0.206,0.109,0.457,0.434,0.047,0.033434928,0.227625239,0.231464412,0.295825385,0.211650036,0.111560632,0.4410165,0.447422868,0.047600047,155.2,150.7546048,49.75,1.56
